ID,ClusterDia1,ClusterDia2,ClusterDia3,ClusterDia4,ClusterDia5,ClusterDia6,ClusterDia7,ClusterDia8,ClusterDia9,ClusterDia10,ClusterDia11,ClusterDia12,ClusterDia13,ClusterDia14,ClusterDia15,ClusterDia16,ClusterDia17,ClusterDia18,ClusterDia19,ClusterDia20,ClusterDia21,ClusterDia22,ClusterDia23,ClusterDia24,ClusterDia25,ClusterDia26,ClusterDia27,ClusterDia28,ClusterDia29,ClusterDia30,ClusterDia31,ClusterDia32,ClusterDia33,ClusterDia34,ClusterDia35,ClusterDia36,ClusterDia37,ClusterDia38,ClusterDia39,ClusterDia40,ClusterDia41,ClusterDia42,ClusterDia43,ClusterDia44,ClusterDia45,ClusterDia46,ClusterDia47,ClusterDia48,ClusterDia49,ClusterDia50,ClusterDia51,ClusterDia52,ClusterDia53,ClusterDia54,ClusterDia55,ClusterDia56,ClusterDia57,ClusterDia58,ClusterDia59,ClusterDia60,ClusterDia61,ClusterDia62,ClusterDia63,ClusterDia64,ClusterDia65,ClusterDia66,ClusterDia67,ClusterDia68,ClusterDia69,ClusterDia70,ClusterDia71,ClusterDia72,ClusterDia73,ClusterDia74,ClusterDia75,ClusterDia76,ClusterDia77,ClusterDia78,ClusterDia79,ClusterDia80,ClusterDia81,ClusterDia82,ClusterDia83,ClusterDia84,ClusterDia85,ClusterDia86,ClusterDia87,ClusterDia88,ClusterDia89,ClusterDia90,ClusterDia91,ClusterDia92,ClusterDia93,ClusterDia94,ClusterDia95,ClusterDia96,ClusterDia97,ClusterDia98,ClusterDia99,ClusterDia100,ClusterDia101,ClusterDia102,ClusterDia103,ClusterDia104,ClusterDia105,ClusterDia106,ClusterDia107,ClusterDia108,ClusterDia109,ClusterDia110,ClusterDia111,ClusterDia112,ClusterDia113,ClusterDia114,ClusterDia115,ClusterDia116,ClusterDia117,ClusterDia118,ClusterDia119,ClusterDia120,ClusterDia121,ClusterDia122,ClusterDia123,ClusterDia124,ClusterDia125,ClusterDia126,ClusterDia127,ClusterDia128,ClusterDia129,ClusterDia130,ClusterDia131,ClusterDia132,ClusterDia133,ClusterDia134,ClusterDia135,ClusterDia136,ClusterDia137,ClusterDia138,ClusterDia139,ClusterDia140,ClusterDia141,ClusterDia142,ClusterDia143,ClusterDia144,ClusterDia145,ClusterDia146,ClusterDia147,ClusterDia148,ClusterDia149,ClusterDia150,ClusterDia151,ClusterDia152,ClusterDia153,ClusterDia154,ClusterDia155,ClusterDia156,ClusterDia157,ClusterDia158,ClusterDia159,ClusterDia160,ClusterDia161,ClusterDia162,ClusterDia163,ClusterDia164,ClusterDia165,ClusterDia166,ClusterDia167,ClusterDia168,ClusterDia169,ClusterDia170,ClusterDia171,ClusterDia172,ClusterDia173,ClusterDia174,ClusterDia175,ClusterDia176,ClusterDia177,ClusterDia178,ClusterDia179,ClusterDia180,ClusterDia181,ClusterDia182,ClusterDia183,ClusterDia184,ClusterDia185,ClusterDia186,ClusterDia187,ClusterDia188,ClusterDia189,ClusterDia190,ClusterDia191,ClusterDia192,ClusterDia193,ClusterDia194,ClusterDia195,ClusterDia196,ClusterDia197,ClusterDia198,ClusterDia199,ClusterDia200,ClusterDia201,ClusterDia202,ClusterDia203,ClusterDia204,ClusterDia205,ClusterDia206,ClusterDia207,ClusterDia208,ClusterDia209,ClusterDia210,ClusterDia211,ClusterDia212,ClusterDia213,ClusterDia214,ClusterDia215,ClusterDia216,ClusterDia217,ClusterDia218,ClusterDia219,ClusterDia220,ClusterDia221,ClusterDia222,ClusterDia223,ClusterDia224,ClusterDia225,ClusterDia226,ClusterDia227,ClusterDia228,ClusterDia229,ClusterDia230,ClusterDia231,ClusterDia232,ClusterDia233,ClusterDia234,ClusterDia235,ClusterDia236,ClusterDia237,ClusterDia238,ClusterDia239,ClusterDia240,ClusterDia241,ClusterDia242,ClusterDia243,ClusterDia244,ClusterDia245,ClusterDia246,ClusterDia247,ClusterDia248,ClusterDia249,ClusterDia250,ClusterDia251,ClusterDia252,ClusterDia253,ClusterDia254,ClusterDia255,ClusterDia256,ClusterDia257,ClusterDia258,ClusterDia259,ClusterDia260,ClusterDia261,ClusterDia262,ClusterDia263,ClusterDia264,ClusterDia265,ClusterDia266,ClusterDia267,ClusterDia268,ClusterDia269,ClusterDia270,ClusterDia271,ClusterDia272,ClusterDia273,ClusterDia274,ClusterDia275,ClusterDia276,ClusterDia277,ClusterDia278,ClusterDia279,ClusterDia280,ClusterDia281,ClusterDia282,ClusterDia283,ClusterDia284,ClusterDia285,ClusterDia286,ClusterDia287,ClusterDia288,ClusterDia289,ClusterDia290,ClusterDia291,ClusterDia292,ClusterDia293,ClusterDia294,ClusterDia295,ClusterDia296,ClusterDia297,ClusterDia298,ClusterDia299,ClusterDia300,ClusterDia301,ClusterDia302,ClusterDia303,ClusterDia304,ClusterDia305,ClusterDia306,ClusterDia307,ClusterDia308,ClusterDia309,ClusterDia310,ClusterDia311,ClusterDia312,ClusterDia313,ClusterDia314,ClusterDia315,ClusterDia316,ClusterDia317,ClusterDia318,ClusterDia319,ClusterDia320,ClusterDia321,ClusterDia322,ClusterDia323,ClusterDia324,ClusterDia325,ClusterDia326,ClusterDia327,ClusterDia328,ClusterDia329,ClusterDia330,ClusterDia331,ClusterDia332,ClusterDia333,ClusterDia334,ClusterDia335,ClusterDia336,ClusterDia337,ClusterDia338,ClusterDia339,ClusterDia340,ClusterDia341,ClusterDia342,ClusterDia343,ClusterDia344,ClusterDia345,ClusterDia346,ClusterDia347,ClusterDia348,ClusterDia349,ClusterDia350,ClusterDia351,ClusterDia352,ClusterDia353,ClusterDia354,ClusterDia355,ClusterDia356,ClusterDia357,ClusterDia358,ClusterDia359,ClusterDia360,ClusterDia361,ClusterDia362,ClusterDia363,ClusterDia364,ClusterDia365,ClusterDia366,ClusterDia367,ClusterDia368,ClusterDia369,ClusterDia370,ClusterDia371,ClusterDia372,ClusterDia373,ClusterDia374,ClusterDia375,ClusterDia376,ClusterDia377,ClusterDia378,ClusterDia379,ClusterDia380,ClusterDia381,ClusterDia382,ClusterDia383,ClusterDia384,ClusterDia385,ClusterDia386,ClusterDia387,ClusterDia388,ClusterDia389,ClusterDia390,ClusterDia391,ClusterDia392,ClusterDia393,ClusterDia394,ClusterDia395,ClusterDia396,ClusterDia397,ClusterDia398,ClusterDia399,ClusterDia400
3486,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3488,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,L,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,A,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3492,F,F,F,A,F,F,F,F,F,A,F,F,F,F,F,F,Q,K,F,F,K,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,K,F,F,F,F,F,F,K,A,F,F,F,F,F,K,K,F,F,F,F,F,Q,F,F,F,F,F,F,Q,F,F,F,Q,F,F,Q,F,F,F,F,Q,F,A,A,F,F,F,F,F,F,F,Q,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,K,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,Q,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,A,F,F,F,Q,F,F,F,F,Q,F,A,F,F,F,F,F,F,A,F,F,F,F,F,F,D,F,F,F,F,F,F,K,F,F,F,F,F,F,K,F,F,F,F,F,F,D,F,F,F,F,F,F,A,F,F,F,F
3529,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,A,F,F,F,F,F,F,A,F,F,F,F,F,F,A,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3579,F,L,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,A,A,F,F,A,A,A,A,A,A,F,F,F,F,A,A,A,A,A,A,F,A,A,F,A,F,A,F,A,A,A,A,A,A,F,A,A,A,A,A,A,F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,F,A,F,A,A,A,A,A,A,A,A,F,A,A,A,A,A,A,M,A,M,A,A,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3589,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3590,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,A,F,A,A,F,F,F,A,F,F,A,A,F,F,A,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,A,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,A,F,F,F,F,F,F,F,F,F,A,F,A,F,F,F,F,F,F,F,F,A,F,A,A,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3619,L,L,L,L,F,F,L,L,L,L,L,L,F,L,L,L,L,L,F,F,F,L,L,F,F,L,F,L,F,L,L,F,F,F,F,L,F,L,F,L,F,L,L,F,F,L,L,F,F,L,F,L,L,F,F,F,L,F,L,L,F,F,F,L,L,L,F,L,F,F,F,F,L,F,L,F,F,L,F,F,F,L,F,F,L,F,F,F,F,F,F,L,L,F,F,L,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,L,F,F,F,L,F,F,L,F,F,F,L,F,F,L,L,F,L,F,F,L,L,L,L,F,L,F,L,L,L,L,L,F,F,L,L,L,F,F,F,F,F,F,L,F,L,F,F,F,L,F,F,F,F,F,F,L,L,F,F,L,F,L,L,F,F,L,L,F,L,F,F,F,F,F,F,F,F,L,L,F,L,F,L,L,L,F,L,L,F,L,F,L,F,L,L,F,L,L,D,L,L,L,F,L,L,L,L,L,L,F,L,L,L,F,L,L,F,L,L,F,F,L,L,F,L,L,L,L,L,L,F,L,F,F,L,L,L,F,L,F,L,F,L,L,F,L,L,L,L,L,F,F,F,L,F,L,L,L,F,F,L,L,L,F,L,F,F,L,L,L,F,L,F,L,F,F,L,F,L,F,F,L,L,L,F,L,F,F,L,L,F,F,F,F,F,L,L,F,F,F,F,F,F,L,F,L,L,F,L,F,F,F,F,L,F,F,F,L,F,F,F,F,F,F,L,F,F,F,F,F,F,L,L,L,F,F,F,F,F,F,L,L,F,F,L,F,F,L,F,F,F,L,F,F,F,F,F,F,L,F,F,F,F,F,F,L,F,L,F,L,F,F,F,L,F,F,L,F,F,F,F,F,F,F,F,F,F
3625,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,A,D,A,L,F,F,A,F,A,K,D,K,L,A,F,L,A,F,A,A,A,A,L,L,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3658,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,A,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,L,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3732,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,A,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,A,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,A,F,A,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,A,F,F,F,F,A,F,F,F,F,F,F,F,F,D,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F
3769,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,A,A,A,F,L,L,L,F,F,F,A,F,F,F,F,F,A,F,A,F,L,F,F,F,L,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,A,F,F,F,F,F,F,F,F,F,F,F,L,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3778,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,A,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,D,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
